label,source_file,window_id,mean,std,rms,peak_to_peak,crest_factor,shape_factor,impulse_factor,clearance_factor,skewness,kurtosis,dominant_frequency
normal,normal_0.mat,0,0.012004959735576921,0.07226609323608835,0.07325644879367166,0.4906633846153846,3.7248450828604067,1.2475610596939992,4.646971678769312,5.471901720481266,-0.13732180841741554,2.9541761927420906,1037.109375
normal,normal_0.mat,1,0.013116182992788461,0.07334354204965302,0.07450710983986383,0.48523938461538463,3.6623205981736917,1.2534756891938932,4.5906298358447595,5.4352811744328635,-0.01009887003125981,2.8836615105641887,1037.109375
normal,normal_0.mat,2,0.012790221454326924,0.07799322431413747,0.07903500998776483,0.4497747692307692,2.869170550013568,1.2472978040576657,3.578710126498848,4.226340245844961,-0.06234781547794237,2.815420219301642,1037.109375
normal,normal_0.mat,3,0.012147975360576924,0.07696360162093578,0.07791642496821381,0.4497747692307692,2.9103609819037812,1.2494389928643832,3.636318494101658,4.289109138741335,-0.10381923541383468,2.8493433507120876,1037.109375
normal,normal_0.mat,4,0.011958815805288462,0.07336953091626922,0.07433775179771179,0.421403076923077,2.9494404112113353,1.250527902748501,3.6883575317137876,4.342668287389388,0.02596008257067962,2.778240253878505,1037.109375
normal,normal_0.mat,5,0.01074053455528846,0.07219660437628697,0.0729911553957015,0.46855015384615384,3.415419077337496,1.2425624203084267,4.243871395104052,4.971785868597589,-0.021942586980997734,2.8203843542851947,1037.109375
normal,normal_0.mat,6,0.010284697716346153,0.07296709547796111,0.07368834391955426,0.4967132307692308,3.383104726678903,1.2463157263485878,4.216416624744158,4.9548217201317435,-0.14753546467773287,2.930965145823106,1037.109375
normal,normal_0.mat,7,0.010806338040865384,0.07234373895880847,0.07314638411017783,0.4629175384615385,3.382502760234454,1.2575959613559133,4.2538218105460786,5.041509885115427,-0.13228631129541174,3.0197768211170186,1037.109375
normal,normal_0.mat,8,0.011016379507211538,0.07126541012873087,0.07211185268916011,0.4282873846153846,3.1156981945707667,1.2400960792350495,3.8637651151669306,4.551258231826754,-0.08345110709392912,2.794399349807499,1037.109375
normal,normal_0.mat,9,0.010272474158653847,0.06974654464679103,0.07049896605984393,0.41264123076923076,3.1869796365530787,1.245924384301559,3.970735641454001,4.6948407016312315,-0.058479258863780366,2.801851371758127,1037.109375
normal,normal_0.mat,10,0.011832913161057692,0.0716962361646794,0.07266614145569184,0.40805169230769234,2.8737455411380335,1.2529378507818636,3.6006245620074506,4.266900261112973,-0.14113279966423087,2.8992909036052548,1037.109375
normal,normal_0.mat,11,0.011567050781250001,0.07186953401923306,0.07279441313670793,0.40805169230769234,2.8686816886321824,1.239290549429892,3.5551301060444476,4.18754817514018,-0.16063967135103116,2.7659134933519534,1037.109375
normal,normal_0.mat,12,0.010938861778846152,0.07082708024279968,0.07166682630573706,0.4526953846153846,3.3038781503780217,1.242500707972171,4.105070940898479,4.833855412044943,-0.10265323035996107,2.810061668735689,1037.109375
