label,source_file,window_id,mean,std,rms,peak_to_peak,crest_factor,shape_factor,impulse_factor,clearance_factor,skewness,kurtosis,dominant_frequency
ball,b007_0.mat,56,0.012220705464071857,0.13583038886881407,0.13637903131454207,0.8519722554890219,3.1872671553378256,1.264769413256274,4.031158009947615,4.813311049867835,-0.004840597368009181,2.973464289250882,3263.671875
ball,b007_0.mat,89,0.010646004748315868,0.13981097116638155,0.14021570908991596,0.9864685429141717,3.734894340174157,1.2397996367692827,4.63052064631957,5.4154055815064,0.00997897968088302,2.968211314232698,3445.3125
ball,b007_0.mat,4,0.015259146570140967,0.13271306792679122,0.13358742438040397,0.8474240718562874,3.2356330114477942,1.2248035698476836,3.9630148631382687,4.61228916748218,-0.023219683851173394,2.600835688376308,3375.0
ball,b007_0.mat,45,0.012846572460547656,0.13057960235744462,0.1312100109588154,0.8500230339321357,3.3054017238312494,1.2536936972336112,4.143961307992352,4.913436823294792,-0.02191078115188013,2.9363036625438053,3263.671875
ball,b007_0.mat,26,0.014248923793038923,0.1478448227521067,0.14852987391047523,0.9437481037924151,3.4722411279834473,1.2519159672986018,4.346954110433385,5.1268612323484986,0.02807555689844149,2.8362466969118163,3234.375
ball,b007_0.mat,116,0.009987143116111527,0.14377509749630443,0.14412155178075742,0.9676260678642714,3.6246582887213736,1.263664586692157,4.580352318317395,5.439338613682602,-0.05041647864249726,3.1144216277388512,3363.28125
ball,b007_0.mat,69,0.011628229673465568,0.13586970887904412,0.13636639438004905,1.0493309381237526,4.24650985426122,1.2535397392977494,5.323168855635934,6.303245861568363,-0.0031416549504838572,3.0148422478438794,3445.3125
ball,b007_0.mat,10,0.015113288072292914,0.14310547598721085,0.1439013159560478,1.0384477844311375,3.653910400170748,1.2613589902156928,4.608892732697992,5.453619938695327,-0.02818113500581755,3.118606907704919,3275.390625
ball,b007_0.mat,90,0.01092177962434506,0.1424307010592925,0.14284883574745824,1.0550161676646708,3.7194934533492803,1.23778580339216,4.603936192365818,5.382121331263507,0.010529589504738975,2.9384814577514202,3263.671875
ball,b007_0.mat,73,0.011469918873191117,0.13084150774710201,0.13134328756541971,0.8118507784431138,3.1054088742470998,1.2594329710319938,3.911054324762144,4.643282105864694,0.03944164726691925,2.929058758638663,3234.375
ball,b007_0.mat,18,0.014922141264346307,0.14072865274374763,0.14151757489083613,1.070122634730539,3.9427235174789113,1.2527675142750938,4.9393159404660105,5.817149715375116,-0.00959558416032746,3.035199893287828,3369.140625
ball,b007_0.mat,111,0.010910041148172404,0.1413997459475938,0.14182001675327388,0.886083632734531,3.1944120951166735,1.2617836096478023,4.030656824078915,4.779114106395024,-0.03936266758495759,3.0589208182543572,3269.53125
ball,b007_0.mat,11,0.014856548563030189,0.1408816900248897,0.14166286605696915,0.9257178043912175,3.356190919921807,1.2606772209608885,4.2310734419411915,4.989195578210746,-0.03849196457722412,3.176745327410681,3263.671875
ball,b007_0.mat,96,0.011074300500561378,0.1403546149300323,0.14079083089368563,1.1024472255489022,3.9607678771374544,1.2446509836608726,4.929773634331519,5.8058419136011965,-0.012723702639811317,2.9251366367381397,3263.671875
ball,b007_0.mat,42,0.013357275488086327,0.13887786201315536,0.1395187348201296,0.8695152495009979,3.3274355691148596,1.2401353942697873,4.1264706214115705,4.83039396893908,0.017552094037222254,2.821861956680942,3445.3125
ball,b007_0.mat,31,0.013217365542352795,0.1426950175243821,0.143305850467327,0.9754229540918163,3.623753727338843,1.257543552727814,4.557028136488347,5.405336540805024,0.014069851729115866,3.059794960292318,3445.3125
ball,b007_0.mat,88,0.011216431239084331,0.14098602665591092,0.14143149593341056,0.9346517365269461,3.336414203795013,1.2418891151556788,4.143456483343827,4.858100739287685,-0.004847919947917743,2.890354737776574,3363.28125
ball,b007_0.mat,0,0.015750576288828592,0.1336768542272595,0.13460156763398484,0.9344893013972055,3.5793238019371807,1.2437705141784787,4.451857405546675,5.226519950001042,0.011866016572550597,2.8992826743486875,3369.140625
ball,b007_0.mat,97,0.011056454844217814,0.1421837060657411,0.14261294283588458,1.1235637924151696,3.968251273429083,1.2633822187665704,5.013418098448104,5.934137921252789,0.02437123140609232,3.28903169936698,3363.28125
ball,b007_0.mat,109,0.011236973572386478,0.13590172737936482,0.13636549812823517,1.0030369261477046,3.806994304105486,1.2559003221696219,4.781205373023996,5.658111128384799,-0.05878442493976717,2.981884668608097,3445.3125
ball,b007_0.mat,64,0.011745376493107536,0.130851541911214,0.13137762324500712,0.8542463473053892,3.3531134220227954,1.2406523883188743,4.160048175336654,4.89096309683379,-0.036158593781281195,2.7670226236875317,3263.671875
ball,b007_0.mat,40,0.013476960356630489,0.14184247123069593,0.14248127984154618,0.9078499401197604,3.2582497947427567,1.24533345687146,4.057607480237722,4.786015374353595,-0.047336576709975466,2.7604769477322155,3345.703125
ball,b007_0.mat,95,0.011308197569704342,0.13807746395768752,0.1385397465901463,0.9400120958083833,3.407227879681439,1.2483923631931382,4.253557264653057,5.014244719766941,-0.03368303659844311,2.9186100752301067,3263.671875
ball,b007_0.mat,53,0.01236521562344062,0.14127957412674969,0.14181966232807758,0.8880328542914171,3.158913795662427,1.2393883157982346,3.9151208489578644,4.597599122548758,0.018954793027738885,2.7535824213529256,3445.3125
ball,b007_0.mat,44,0.013100139408682635,0.13933787259896,0.13995233614674293,0.8756877844311377,3.1581179721110235,1.2400014497417224,3.916070863873058,4.600772076137407,-0.028671231250008516,2.7707831853426423,3380.859375
ball,b007_0.mat,12,0.014910402788173653,0.1383127668807996,0.13911413153784194,0.9073626347305389,3.4176802852064485,1.2477760042520376,4.264499450085866,5.009447733689084,-0.03988043211630017,2.957315786771373,3263.671875
ball,b007_0.mat,15,0.015168807892028444,0.13001593321021687,0.13089780602205997,0.9296162475049901,3.556507904783911,1.2581409578262273,4.4745882618413795,5.295363169414139,-0.06907341996161874,3.1104259284194518,3310.546875
ball,b007_0.mat,70,0.01172396170549526,0.12969980766090974,0.13022861200730393,0.9003779241516966,3.5311276470459356,1.253144757888351,4.425014100330242,5.23981440282685,-0.03472987077044091,2.964410050100554,3281.25
ball,b007_0.mat,107,0.0110752522688997,0.14014191950629315,0.14057887044548378,0.9759102594810379,3.4860629116890838,1.2543142777197143,4.372618483160777,5.156446521724249,-0.01024817292345722,3.101487498829034,3263.671875
ball,b007_0.mat,24,0.014522557190306887,0.13527843617483448,0.13605572373573446,0.8760126546906188,3.5422620725329983,1.2471740154009414,4.41781721260344,5.2234453657219735,-0.03513277647479845,2.7955399476038068,3357.421875
ball,b007_0.mat,66,0.012149640094810378,0.13241997329068816,0.13297617486128857,0.8815354491017964,3.372659754135651,1.2505114837536473,4.217549753340384,4.965899510517921,-0.03326484091782868,2.9324766943107425,3445.3125
ball,b007_0.mat,22,0.01458362899201597,0.13792293077775786,0.13869180606258957,0.8714644710578843,3.213758683096507,1.249963587731005,4.017081333624979,4.752243101066936,0.01634146226362688,2.8957927974314845,3445.3125
ball,b007_0.mat,36,0.013261067571887475,0.1421185174887501,0.1427358711969291,0.856358003992016,3.147741104563643,1.2435088119897855,3.9142438013873506,4.60207325388207,0.0071521739336999094,2.7700091827325646,3263.671875
ball,b007_0.mat,55,0.012100386083302146,0.13891701290246058,0.13944301996553063,1.0348742115768463,3.940807105640804,1.2605842830784562,4.967719500014699,5.9060703020201455,-0.039313792174873234,3.0493853347232296,3421.875
ball,b007_0.mat,81,0.011354754904253993,0.13442491914472107,0.1349036298473858,0.8950175648702595,3.4557174101444192,1.2405600770414262,4.287025056562158,5.019745030013927,0.013983259146848028,2.9018052690813394,3234.375
ball,b007_0.mat,30,0.013567378348771206,0.13743437767351827,0.13810243271487277,0.9754229540918163,3.760289370518186,1.259134619157626,4.734710524469886,5.616541716888383,0.0038264168954027025,3.1185033791885886,3263.671875
ball,b007_0.mat,62,0.012041852330495258,0.13503047971598,0.1355663551913864,0.9388750499001997,3.4663824197080673,1.2468899760008496,4.322197492119559,5.07952919923821,-0.015776750977702744,2.9400532105906754,3445.3125
ball,b007_0.mat,72,0.011509100003118762,0.13396928164990285,0.1344627376215165,0.8977789620758483,3.609596057986289,1.2555217689077132,4.531926427765254,5.368957214859845,0.04616377488449063,2.9346839315122706,3263.671875
ball,b007_0.mat,9,0.015290158355164672,0.14304187936421212,0.1438567627696794,1.0384477844311375,3.655042035193655,1.2584854170957902,4.599817100163333,5.458330799377288,-0.03621904568549165,2.9742813219490243,3369.140625
